01. Ano,02. Nome Região (Portugal),03. Âmbito Geográfico,04. Filtro 1,05. Filtro 2,06. Filtro 3,07. Escala,08. Símbolo,09. Valor
2011,Castelo de Vide,Município,T0 ou T1,,,,,0
2011,Castelo de Vide,Município,T2,,,,,4
2011,Castelo de Vide,Município,T3,,,,,5
2011,Castelo de Vide,Município,T4 ou mais,,,,,2
2011,Castelo de Vide,Município,Total,,,,,11
2011,Castro Daire,Município,T0 ou T1,,,,,3
2011,Castro Daire,Município,T2,,,,,11
2011,Castro Daire,Município,T3,,,,,31
2011,Castro Daire,Município,T4 ou mais,,,,,10
2011,Castro Daire,Município,Total,,,,,55
2011,Castro Marim,Município,T0 ou T1,,,,,9
2011,Castro Marim,Município,T2,,,,,5
2011,Castro Marim,Município,T3,,,,,13
2011,Castro Marim,Município,T4 ou mais,,,,,3
2011,Castro Marim,Município,Total,,,,,30
2011,Castro Verde,Município,T0 ou T1,,,,,0
2011,Castro Verde,Município,T2,,,,,0
2011,Castro Verde,Município,T3,,,,,8
2011,Castro Verde,Município,T4 ou mais,,,,,6
2011,Castro Verde,Município,Total,,,,,14
2011,Celorico da Beira,Município,T0 ou T1,,,,,0
2011,Celorico da Beira,Município,T2,,,,,1
2011,Celorico da Beira,Município,T3,,,,,4
2011,Celorico da Beira,Município,T4 ou mais,,,,,3
2011,Celorico da Beira,Município,Total,,,,,8
2011,Celorico de Basto,Município,T0 ou T1,,,,,1
2011,Celorico de Basto,Município,T2,,,,,5
2011,Celorico de Basto,Município,T3,,,,,44
2011,Celorico de Basto,Município,T4 ou mais,,,,,23
2011,Celorico de Basto,Município,Total,,,,,73
2011,Chamusca,Município,T0 ou T1,,,,,0
2011,Chamusca,Município,T2,,,,,2
2011,Chamusca,Município,T3,,,,,4
2011,Chamusca,Município,T4 ou mais,,,,,4
2011,Chamusca,Município,Total,,,,,10
2011,Chaves,Município,T0 ou T1,,,,,0
2011,Chaves,Município,T2,,,,,3
2011,Chaves,Município,T3,,,,,36
2011,Chaves,Município,T4 ou mais,,,,,13
2011,Chaves,Município,Total,,,,,52
2011,Cinfães,Município,T0 ou T1,,,,,1
2011,Cinfães,Município,T2,,,,,6
2011,Cinfães,Município,T3,,,,,38
2011,Cinfães,Município,T4 ou mais,,,,,11
